Date,AAPL,GOOGL,JPM,MSFT,NVDA
2023-11-16,187.5866241455078,135.80755615234375,143.46676635742188,369.0005187988281,49.4454231262207
2023-11-17,187.56686401367188,134.2008514404297,144.7646026611328,362.8009338378906,49.26355743408203
2023-11-20,189.30715942382812,135.1331329345703,145.20977783203125,370.24627685546875,50.373775482177734
2023-11-21,188.50621032714844,135.84722900390625,144.9066619873047,365.9595947265625,49.90909957885742
2023-11-22,189.16871643066406,137.35476684570312,145.2476806640625,370.6484375,48.68195724487305
2023-11-24,187.84373474121094,135.56951904296875,145.44662475585938,370.2364807128906,47.74261474609375
2023-11-27,187.6657257080078,135.29180908203125,145.1150360107422,371.39398193359375,48.20829391479492
2023-11-28,188.26890563964844,136.07533264160156,145.44662475585938,375.40606689453125,47.7875862121582
2023-11-29,187.2504425048828,133.8834686279297,146.18553161621094,371.6294250488281,48.10636520385742
2023-11-30,187.82394409179688,131.44363403320312,147.8527374267578,371.688232421875,46.7373161315918
2023-12-01,189.09950256347656,130.77911376953125,148.57266235351562,367.3721618652344,46.73232650756836
2023-12-04,187.3097686767578,128.21034240722656,149.6620330810547,362.1044921875,45.47819900512695
2023-12-05,191.25509643554688,129.916259765625,149.6431121826172,365.4200134277344,46.53755569458008
2023-12-06,190.16741943359375,128.95419311523438,148.07058715820312,361.7709655761719,45.4752082824707
2023-12-07,192.09559631347656,135.80755615234375,148.5253143310547,363.87994384765625,46.56753158569336
2023-12-08,193.5194854736328,133.8834686279297,150.1641082763672,367.09747314453125,47.47697448730469
2023-12-11,191.01779174804688,132.19740295410156,150.71353149414062,364.2232971191406,46.598514556884766
2023-12-12,192.53065490722656,131.43368530273438,152.05870056152344,367.2445983886719,47.62788772583008
2023-12-13,195.7443084716797,131.48330688476562,152.5702362060547,367.2347717285156,48.05862045288086
2023-12-14,195.89260864257812,130.8584747314453,155.3457794189453,358.9556884765625,48.320465087890625
2023-12-15,195.35865783691406,131.51303100585938,156.52040100097656,363.6641845703125,48.860137939453125
2023-12-18,193.6974639892578,134.6868133544922,157.4676971435547,365.54754638671875,50.04640579223633
2023-12-19,194.73570251464844,135.52981567382812,159.57066345214844,366.14599609375,49.573692321777344
2023-12-20,192.6493377685547,137.2059783935547,157.77084350585938,363.5562744140625,48.081607818603516
2023-12-21,192.50100708007812,139.26893615722656,158.6707305908203,366.42059326171875,48.9600715637207
2023-12-22,191.43309020996094,140.3301544189453,158.57603454589844,367.4407653808594,48.8001708984375
2023-12-26,190.88926696777344,140.35992431640625,159.51385498046875,367.519287109375,49.24889373779297
2023-12-27,190.9881134033203,139.2193603515625,160.4706268310547,366.9404602050781,49.38680648803711
2023-12-28,191.41334533691406,139.08050537109375,161.3231658935547,368.12744140625,49.49174880981445
2023-12-29,190.3750457763672,138.54493713378906,161.13369750976562,368.87298583984375,49.49174880981445
2024-01-02,183.5621795654297,137.03738403320312,163.0093536376953,363.80145263671875,48.13856887817383
2024-01-03,182.187744140625,137.78125,162.2988739013672,363.53662109375,47.539939880371094
2024-01-04,179.8739471435547,135.27197265625,163.3759002685547,360.9273681640625,47.96867752075195
2024-01-05,179.15208435058594,134.61737060546875,164.19561767578125,360.7409362792969,49.06700897216797
2024-01-08,183.4830780029297,137.70188903808594,163.95730590820312,367.5486755371094,52.2210807800293
2024-01-09,183.06781005859375,139.79461669921875,162.66107177734375,368.6277160644531,53.10753631591797
2024-01-10,184.1060333251953,141.11367797851562,163.00421142578125,375.47467041015625,54.316795349121094
2024-01-11,183.5127410888672,140.9153289794922,162.31793212890625,377.29925537109375,54.78850555419922
2024-01-12,183.83905029296875,141.4806671142578,161.12652587890625,381.06610107421875,54.676578521728516
2024-01-16,181.57469177246094,141.32199096679688,160.11624145507812,382.831787109375,56.34755325317383
2024-01-17,180.63531494140625,140.3103485107422,159.2583770751953,382.0469970703125,56.018760681152344
2024-01-18,186.5187530517578,142.30386352539062,159.5729217529297,386.3631591796875,57.072113037109375
