Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,PG,UNH,V
2025-09-15,236.0322265625,231.42999267578125,251.26864624023438,175.34857177734375,304.4668884277344,513.225830078125,177.73048400878906,153.4871826171875,342.9007873535156,336.9847717285156
2025-09-16,237.4781494140625,234.0500030517578,250.8192596435547,174.41946411132812,304.7527160644531,506.9320068359375,174.86080932617188,154.68118286132812,334.9070739746094,337.9588623046875
2025-09-17,238.3157958984375,231.6199951171875,249.19146728515625,175.15089416503906,307.2760009765625,507.9079284667969,170.27130126953125,156.91258239746094,336.7108459472656,344.09124755859375
2025-09-18,237.2089080810547,231.22999572753906,251.68807983398438,172.14605712890625,308.7347717285156,506.3444519042969,176.2206573486328,153.9667510986328,330.0182189941406,336.1201171875
2025-09-19,244.8074188232422,231.47999572753906,254.3744354248047,174.152587890625,310.26251220703125,515.78515625,176.6505889892578,152.71400451660156,331.86138916015625,339.5291748046875
2025-09-22,255.35755920410156,227.6300048828125,252.18739318847656,172.1954803466797,307.9560852050781,512.319580078125,183.58984375,149.8073272705078,336.4052734375,342.262451171875
2025-09-23,253.71221923828125,220.7100067138672,251.31858825683594,174.53805541992188,308.25177001953125,507.1212463378906,178.410400390625,149.24948120117188,342.7036437988281,336.636962890625
2025-09-24,251.59820556640625,220.2100067138672,246.80470275878906,174.64678955078125,308.92205810546875,508.0373840332031,176.9505615234375,149.1711883544922,346.7645568847656,336.6170349121094
2025-09-25,256.14532470703125,218.14999389648438,245.45654296875,175.6747589111328,308.9516296386719,504.9303283691406,177.67050170898438,148.9069366455078,340.60418701171875,332.889892578125
2025-09-26,254.73931884765625,219.77999877929688,246.2055206298828,177.6318817138672,311.52410888671875,509.34197998046875,178.17044067382812,149.24948120117188,339.1453857421875,335.3150634765625
2025-09-29,253.71221923828125,222.1699981689453,243.71890258789062,179.519775390625,311.1594543457031,512.4689331054688,181.83004760742188,150.2575225830078,340.2296142578125,338.0880432128906
2025-09-30,253.9116668701172,219.57000732421875,242.77020263671875,183.27584838867188,310.9031677246094,515.8051147460938,186.55950927734375,150.37496948242188,340.347900390625,339.3006286621094
2025-10-01,254.72933959960938,220.6300048828125,244.5677490234375,183.89854431152344,306.25091552734375,517.557861328125,187.21945190429688,149.91497802734375,343.3049011230469,345.7113037109375
2025-10-02,256.40460205078125,222.41000366210938,245.35667419433594,183.82936096191406,303.1362609863281,513.604248046875,188.8692626953125,148.80908203125,348.6471862792969,343.8427734375
2025-10-03,257.2920837402344,219.50999450683594,245.01715087890625,186.45860290527344,305.5806884765625,515.20751953125,187.59939575195312,149.02438354492188,355.03424072265625,347.7090759277344
2025-10-06,255.96583557128906,220.89999389648438,250.09024047851562,185.98416137695312,306.2244567871094,526.3811645507812,185.51962280273438,147.20401000976562,353.6247253417969,347.1524963378906
2025-10-07,255.75645446777344,221.77999877929688,245.42657470703125,186.70570373535156,304.7486877441406,521.8101196289062,185.01968383789062,149.2886199951172,358.4446105957031,350.27337646484375
